net,length_um
net258,93.44µm
clknet_leaf_19_clk,93.42µm
clknet_leaf_61_clk,93.34µm
acc.data_out\[9\],92.64µm
lsu.current_load_addr\[10\],92.53µm
net268,92.38µm
net431,92.2µm
clknet_leaf_22_clk,92.01µm
clknet_leaf_37_clk,91.78µm
_1424_,91.06µm
clknet_leaf_65_clk,90.83µm
acc.byte1\[2\],90.64µm
lsu.store_fifo.r_ptr\[1\],90.34µm
net306,89.78µm
_1723_,89.64µm
clknet_leaf_56_clk,89.31µm
net483,88.87µm
clknet_leaf_60_clk,88.84µm
_1447_,88.63µm
_1294_,88.39µm
net350,88.06µm
net278,87.9µm
clknet_leaf_28_clk,87.86µm
net294,87.85µm
net314,87.7µm
net313,87.66µm
_1664_,87.48µm
_1718_,87.44µm
net336,87.36µm
net353,87.1µm
net240,86.78µm
net317,86.74µm
net238,86.735µm
acc.byte0\[2\],86.54µm
_1679_,86.4µm
net302,86.38µm
net304,86.24µm
clknet_leaf_64_clk,86.235µm
net400,86.11µm
_1851_,86.08µm
net346,85.98µm
net352,85.9µm
clknet_leaf_29_clk,85.64µm
_1838_,85.25µm
acc.data_out\[2\],85.24µm
net70,85.18µm
net440,84.82µm
clknet_leaf_5_clk,84.5µm
net320,84.02µm
net432,83.7µm
net80,83.68µm
net322,83.45µm
net261,82.99µm
lsu.current_load_addr\[17\],81.9µm
net242,81.9µm
_1168_,81.54µm
net292,81.4µm
_1388_,81.38µm
clknet_leaf_34_clk,81.34µm
net342,81.18µm
clknet_leaf_85_clk,80.74µm
net328,80.62µm
net354,80.38µm
net260,80.36µm
net344,80.24µm
clknet_leaf_20_clk,80.06µm
lsu.load_fifo.data_in\[28\],79.94µm
net403,79.765µm
clknet_leaf_83_clk,79.6µm
net308,79.48µm
net332,79.44µm
clknet_leaf_53_clk,79.36µm
clknet_leaf_33_clk,79.26µm
net348,79.03µm
net297,79µm
_1325_,78.87µm
net298,78.7µm
clknet_leaf_75_clk,78.44µm
lsu.current_store_addr\[9\],77.99µm
net324,77.72µm
clknet_leaf_71_clk,77.32µm
_1658_,77.28µm
clknet_leaf_24_clk,77.26µm
clknet_leaf_14_clk,77.19µm
lsu.load_fifo.data_in\[1\],77.16µm
clknet_leaf_49_clk,77.02µm
net168,76.93µm
_1154_,76.84µm
net281,76.82µm
clknet_leaf_13_clk,76.82µm
_1619_,76.675µm
net309,76.38µm
clknet_leaf_39_clk,75.8µm
clknet_leaf_78_clk,75.6µm
net161,75.52µm
net305,75.44µm
clknet_leaf_54_clk,75.32µm
_1622_,74.96µm
net54,74.82µm
lsu.current_load_addr\[6\],74.68µm
net420,74.365µm
clknet_leaf_21_clk,74.28µm
_1576_,74.18µm
net316,74µm
clknet_leaf_69_clk,73.66µm
_1930_,73.5µm
clknet_leaf_57_clk,73.48µm
net351,72.82µm
net249,72.64µm
net273,72µm
net38,71.8µm
net275,71.56µm
clknet_leaf_12_clk,71.38µm
_1206_,70.94µm
lsu.store_fifo.r_ptr\[0\],70.24µm
clknet_leaf_7_clk,70.24µm
net267,70µm
_1624_,69.76µm
_1586_,69.665µm
net32,69.42µm
net331,69.36µm
net326,69.34µm
clknet_leaf_67_clk,69.34µm
net340,69.32µm
clknet_leaf_6_clk,69.28µm
clknet_leaf_63_clk,69.18µm
lsu.store_counter\[18\],69.12µm
net283,69.075µm
_1522_,68.88µm
clknet_leaf_62_clk,68.87µm
clknet_leaf_9_clk,68.52µm
_1237_,68.12µm
net162,67.99µm
_1921_,67.7µm
clknet_leaf_77_clk,67.44µm
net444,67.32µm
clknet_leaf_43_clk,67.28µm
_1609_,67.14µm
net355,67µm
net323,66.98µm
clknet_leaf_23_clk,66.455µm
lsu.current_store_addr\[3\],66.34µm
lsu.current_store_addr\[7\],66.26µm
net91,66.2µm
