net,length_um
lsu.load_fifo.queue\[8\]\[13\],19.04µm
net551,19.04µm
_1109_,19.02µm
_1652_,19µm
_0423_,18.985µm
_1887_,18.98µm
_1425_,18.97µm
_1555_,18.965µm
lsu.load_fifo.queue\[3\]\[18\],18.96µm
load_base_addr[14],18.94µm
lsu.load_fifo.queue\[15\]\[7\],18.94µm
_2048_,18.92µm
lsu.load_fifo.queue\[2\]\[1\],18.9µm
lsu.load_fifo.queue\[11\]\[20\],18.88µm
lsu.load_fifo.queue\[13\]\[18\],18.86µm
lsu.store_fifo.queue\[9\]\[0\],18.86µm
lsu.load_fifo.queue\[6\]\[17\],18.85µm
_1476_,18.82µm
_1566_,18.82µm
lsu.load_fifo.queue\[5\]\[5\],18.82µm
net663,18.82µm
lsu.store_fifo.queue\[2\]\[6\],18.805µm
lsu.load_fifo.queue\[5\]\[29\],18.8µm
lsu.store_fifo.queue\[0\]\[9\],18.78µm
count[20],18.75µm
_1287_,18.74µm
_1844_,18.74µm
net132,18.74µm
net8,18.685µm
_2034_,18.68µm
net1290,18.66µm
lsu.load_fifo.queue\[2\]\[23\],18.645µm
_1975_,18.64µm
lsu.load_fifo.queue\[10\]\[2\],18.625µm
_1104_,18.6µm
_1421_,18.6µm
_1551_,18.6µm
_1637_,18.58µm
_1343_,18.56µm
lsu.store_fifo.queue\[2\]\[7\],18.545µm
store_base_addr[5],18.49µm
lsu.load_fifo.queue\[6\]\[26\],18.485µm
_2029_,18.48µm
lsu.load_fifo.queue\[7\]\[11\],18.46µm
store_addr[13],18.45µm
_0439_,18.445µm
_1727_,18.44µm
net14,18.44µm
_1927_,18.4µm
_1617_,18.39µm
lsu.load_fifo.queue\[11\]\[5\],18.36µm
lsu.load_fifo.queue\[13\]\[16\],18.36µm
lsu.load_fifo.queue\[13\]\[3\],18.36µm
lsu.load_fifo.queue\[5\]\[3\],18.36µm
_1675_,18.34µm
lsu.load_fifo.queue\[13\]\[24\],18.33µm
lsu.store_fifo.queue\[8\]\[9\],18.32µm
store_base_addr[2],18.29µm
_0799_,18.28µm
lsu.load_fifo.queue\[13\]\[31\],18.28µm
net23,18.24µm
net1012,18.24µm
lsu.load_fifo.queue\[7\]\[6\],18.23µm
_1911_,18.22µm
net133,18.22µm
lsu.load_fifo.queue\[6\]\[2\],18.165µm
_1375_,18.14µm
acc.byte3\[1\],18.14µm
lsu.load_fifo.queue\[4\]\[16\],18.12µm
lsu.load_fifo.queue\[14\]\[17\],18.105µm
_1726_,18.1µm
_1830_,18.1µm
lsu.load_fifo.r_ptr\[2\],18.06µm
lsu.load_fifo.queue\[10\]\[11\],18.055µm
acc.byte3\[2\],18.04µm
count[11],18.02µm
net1237,18.02µm
net45,18µm
_1341_,17.99µm
lsu.load_fifo.queue\[7\]\[7\],17.98µm
lsu.load_fifo.queue\[10\]\[6\],17.945µm
_2014_,17.94µm
lsu.store_fifo.queue\[0\]\[1\],17.92µm
_1331_,17.91µm
count[4],17.9µm
lsu.load_fifo.queue\[5\]\[19\],17.9µm
lsu.store_fifo.queue\[11\]\[9\],17.9µm
lsu.load_fifo.queue\[2\]\[13\],17.885µm
lsu.load_fifo.queue\[0\]\[2\],17.88µm
net25,17.86µm
clknet_leaf_73_clk,17.86µm
_0066_,17.83µm
_0797_,17.82µm
_1684_,17.82µm
net101,17.8µm
net135,17.78µm
store_data[3],17.75µm
_1523_,17.72µm
lsu.load_fifo.queue\[14\]\[20\],17.71µm
net86,17.68µm
_1201_,17.67µm
lsu.load_fifo.queue\[2\]\[18\],17.67µm
lsu.store_fifo.queue\[14\]\[5\],17.67µm
_1545_,17.64µm
_1560_,17.64µm
lsu.store_fifo.queue\[0\]\[8\],17.62µm
net236,17.62µm
_1398_,17.6µm
net114,17.6µm
lsu.store_fifo.queue\[2\]\[1\],17.59µm
_1480_,17.58µm
_1499_,17.58µm
lsu.load_fifo.queue\[15\]\[2\],17.58µm
load_base_addr[11],17.56µm
_1600_,17.55µm
_1369_,17.52µm
_2008_,17.52µm
lsu.load_fifo.queue\[11\]\[29\],17.52µm
lsu.load_fifo.queue\[15\]\[1\],17.52µm
_1932_,17.48µm
lsu.load_fifo.queue\[12\]\[5\],17.48µm
net41,17.48µm
_0336_,17.465µm
_1349_,17.46µm
_1469_,17.46µm
net744,17.46µm
_1361_,17.44µm
_1839_,17.44µm
lsu.load_fifo.queue\[15\]\[17\],17.44µm
lsu.load_fifo.queue\[3\]\[6\],17.41µm
lsu.load_fifo.queue\[7\]\[14\],17.4µm
lsu.load_fifo.queue\[9\]\[26\],17.4µm
lsu.load_fifo.queue\[11\]\[8\],17.38µm
lsu.load_fifo.queue\[14\]\[13\],17.365µm
net518,17.36µm
net1300,17.36µm
lsu.load_fifo.queue\[9\]\[23\],17.34µm
net1088,17.34µm
lsu.load_fifo.queue\[11\]\[15\],17.33µm
store_data[1],17.33µm
lsu.load_fifo.queue\[3\]\[0\],17.32µm
_1559_,17.28µm
_1427_,17.26µm
_1460_,17.26µm
_1553_,17.25µm
_1804_,17.235µm
lsu.load_fifo.queue\[14\]\[10\],17.23µm
_0244_,17.225µm
lsu.load_fifo.queue\[3\]\[22\],17.22µm
lsu.load_fifo.queue\[11\]\[21\],17.2µm
lsu.load_fifo.queue\[15\]\[26\],17.2µm
lsu.store_fifo.queue\[9\]\[4\],17.18µm
net674,17.14µm
store_data[7],17.13µm
load_base_addr[17],17.1µm
lsu.load_fifo.queue\[5\]\[2\],17.1µm
lsu.load_fifo.queue\[4\]\[30\],17.06µm
lsu.load_fifo.queue\[5\]\[4\],17.06µm
_0385_,17.045µm
_1562_,17.04µm
lsu.load_fifo.queue\[1\]\[17\],17.02µm
lsu.store_fifo.queue\[11\]\[4\],17.02µm
_1291_,17µm
lsu.load_fifo.queue\[10\]\[22\],16.99µm
lsu.load_fifo.queue\[15\]\[24\],16.98µm
lsu.load_fifo.queue\[9\]\[12\],16.98µm
_1116_,16.96µm
lsu.load_fifo.queue\[15\]\[9\],16.95µm
net129,16.94µm
load_addr[1],16.92µm
lsu.store_fifo.queue\[15\]\[9\],16.92µm
_1856_,16.9µm
lsu.load_fifo.queue\[4\]\[21\],16.9µm
lsu.load_fifo.queue\[5\]\[16\],16.9µm
lsu.load_fifo.queue\[13\]\[30\],16.86µm
lsu.load_fifo.queue\[15\]\[14\],16.86µm
lsu.load_fifo.queue\[3\]\[25\],16.86µm
net1103,16.84µm
lsu.load_fifo.queue\[6\]\[12\],16.83µm
acc.byte3\[0\],16.82µm
lsu.load_fifo.queue\[8\]\[11\],16.8µm
lsu.load_fifo.queue\[6\]\[4\],16.79µm
lsu.store_fifo.queue\[2\]\[5\],16.79µm
_1524_,16.76µm
lsu.load_fifo.queue\[4\]\[23\],16.76µm
lsu.store_fifo.queue\[3\]\[1\],16.76µm
lsu.store_fifo.queue\[7\]\[9\],16.76µm
acc.byte2\[7\],16.74µm
lsu.load_fifo.queue\[10\]\[24\],16.725µm
_0918_,16.72µm
_1097_,16.72µm
_1134_,16.72µm
lsu.load_fifo.queue\[12\]\[18\],16.72µm
lsu.load_fifo.queue\[7\]\[10\],16.72µm
net1071,16.72µm
lsu.load_fifo.queue\[8\]\[26\],16.7µm
_0726_,16.685µm
lsu.store_fifo.queue\[15\]\[6\],16.68µm
lsu.load_fifo.queue\[15\]\[18\],16.66µm
lsu.store_counter\[1\],16.66µm
lsu.load_fifo.queue\[3\]\[15\],16.64µm
net1150,16.64µm
lsu.load_fifo.queue\[6\]\[11\],16.61µm
_0534_,16.605µm
_1160_,16.6µm
_1181_,16.6µm
_1976_,16.6µm
lsu.load_fifo.queue\[0\]\[13\],16.58µm
lsu.load_fifo.queue\[1\]\[1\],16.58µm
lsu.load_fifo.queue\[10\]\[31\],16.565µm
lsu.load_fifo.queue\[5\]\[10\],16.56µm
lsu.load_fifo.queue\[5\]\[26\],16.56µm
lsu.store_fifo.queue\[13\]\[5\],16.52µm
lsu.store_fifo.queue\[12\]\[9\],16.48µm
_1752_,16.46µm
lsu.load_fifo.queue\[13\]\[10\],16.44µm
lsu.load_fifo.queue\[1\]\[10\],16.44µm
_1115_,16.42µm
lsu.load_fifo.queue\[15\]\[21\],16.42µm
_1430_,16.41µm
net13,16.4µm
_0405_,16.375µm
lsu.load_fifo.queue\[2\]\[9\],16.37µm
lsu.load_fifo.queue\[2\]\[19\],16.33µm
lsu.store_fifo.queue\[3\]\[7\],16.32µm
lsu.load_fifo.queue\[15\]\[25\],16.31µm
lsu.load_fifo.queue\[2\]\[27\],16.31µm
lsu.load_fifo.queue\[2\]\[2\],16.305µm
_1438_,16.3µm
net1274,16.3µm
store_base_addr[8],16.29µm
_1511_,16.28µm
lsu.load_fifo.queue\[12\]\[12\],16.26µm
lsu.load_fifo.queue\[7\]\[22\],16.26µm
lsu.load_fifo.queue\[9\]\[14\],16.24µm
lsu.store_fifo.queue\[1\]\[1\],16.24µm
_0844_,16.225µm
net473,16.22µm
lsu.load_fifo.queue\[8\]\[19\],16.2µm
lsu.load_fifo.queue\[10\]\[5\],16.185µm
lsu.load_fifo.queue\[14\]\[25\],16.185µm
load_base_addr[21],16.18µm
net1163,16.18µm
_1687_,16.14µm
lsu.load_fifo.queue\[0\]\[10\],16.14µm
lsu.load_fifo.queue\[12\]\[13\],16.14µm
lsu.load_fifo.queue\[4\]\[8\],16.14µm
net1308,16.14µm
lsu.load_fifo.queue\[14\]\[16\],16.105µm
_1111_,16.1µm
_1152_,16.1µm
acc.byte2\[6\],16.1µm
lsu.load_fifo.queue\[12\]\[30\],16.1µm
lsu.load_fifo.queue\[13\]\[22\],16.1µm
lsu.load_fifo.queue\[9\]\[9\],16.1µm
lsu.store_fifo.queue\[4\]\[9\],16.1µm
_1714_,16.095µm
store_addr[21],16.07µm
store_req,16.07µm
_1453_,16.06µm
lsu.load_fifo.queue\[8\]\[12\],16.06µm
lsu.store_fifo.queue\[7\]\[0\],16.04µm
net974,16.04µm
_1584_,16.02µm
_1370_,16µm
lsu.load_fifo.queue\[3\]\[12\],15.985µm
lsu.store_fifo.queue\[11\]\[8\],15.98µm
net4,15.98µm
net1056,15.92µm
lsu.load_fifo.queue\[2\]\[4\],15.91µm
lsu.load_fifo.queue\[6\]\[25\],15.91µm
net887,15.88µm
_1100_,15.86µm
_1881_,15.86µm
net89,15.86µm
lsu.load_fifo.queue\[6\]\[31\],15.845µm
lsu.load_fifo.queue\[6\]\[8\],15.845µm
lsu.load_fifo.queue\[4\]\[13\],15.84µm
lsu.load_fifo.queue\[10\]\[29\],15.83µm
lsu.load_fifo.queue\[6\]\[5\],15.83µm
lsu.load_fifo.queue\[14\]\[12\],15.805µm
lsu.store_fifo.queue\[7\]\[1\],15.8µm
net154,15.8µm
store_data[5],15.79µm
lsu.store_fifo.queue\[11\]\[2\],15.78µm
acc.byte3\[5\],15.77µm
lsu.load_fifo.queue\[14\]\[15\],15.765µm
lsu.load_fifo.queue\[14\]\[28\],15.765µm
lsu.load_fifo.queue\[14\]\[7\],15.765µm
_1820_,15.76µm
lsu.load_fifo.queue\[6\]\[23\],15.745µm
lsu.store_fifo.queue\[14\]\[2\],15.745µm
lsu.load_fifo.w_ptr\[3\],15.74µm
lsu.store_fifo.queue\[12\]\[1\],15.74µm
net687,15.74µm
done,15.73µm
lsu.store_fifo.queue\[6\]\[4\],15.73µm
_1217_,15.72µm
lsu.load_fifo.queue\[4\]\[29\],15.72µm
lsu.load_fifo.queue\[4\]\[4\],15.72µm
_1246_,15.7µm
lsu.current_store_addr\[18\],15.7µm
lsu.store_fifo.queue\[10\]\[6\],15.7µm
lsu.load_fifo.queue\[14\]\[19\],15.685µm
net897,15.66µm
lsu.load_fifo.queue\[12\]\[28\],15.64µm
store_base_addr[3],15.61µm
lsu.load_fifo.queue\[1\]\[28\],15.6µm
_0062_,15.59µm
net961,15.58µm
lsu.load_fifo.queue\[4\]\[17\],15.56µm
_1319_,15.54µm
_1942_,15.54µm
lsu.load_fifo.queue\[3\]\[30\],15.54µm
lsu.store_fifo.queue\[8\]\[2\],15.54µm
_1696_,15.52µm
_1894_,15.52µm
lsu.current_store_addr\[17\],15.52µm
lsu.load_fifo.queue\[3\]\[10\],15.52µm
lsu.store_fifo.queue\[4\]\[6\],15.52µm
_1112_,15.46µm
lsu.load_fifo.queue\[8\]\[9\],15.46µm
net1053,15.44µm
_1081_,15.42µm
_1161_,15.42µm
_1273_,15.42µm
net118,15.42µm
_1505_,15.4µm
_1699_,15.38µm
lsu.store_fifo.queue\[5\]\[1\],15.38µm
_1102_,15.36µm
lsu.load_fifo.queue\[14\]\[4\],15.325µm
lsu.load_fifo.queue\[11\]\[17\],15.32µm
_1866_,15.3µm
lsu.load_fifo.queue\[2\]\[30\],15.29µm
acc.byte3\[3\],15.28µm
_0256_,15.265µm
lsu.load_fifo.queue\[4\]\[18\],15.26µm
net1192,15.26µm
_1346_,15.24µm
lsu.load_fifo.queue\[5\]\[7\],15.24µm
lsu.load_fifo.queue\[12\]\[31\],15.22µm
lsu.load_fifo.queue\[9\]\[31\],15.22µm
lsu.store_fifo.queue\[1\]\[7\],15.22µm
lsu.store_fifo.queue\[5\]\[4\],15.22µm
net824,15.2µm
_1199_,15.19µm
_0377_,15.185µm
_1915_,15.18µm
lsu.load_fifo.queue\[7\]\[24\],15.18µm
lsu.load_fifo.queue\[7\]\[8\],15.18µm
lsu.store_fifo.queue\[8\]\[7\],15.18µm
lsu.load_fifo.queue\[2\]\[21\],15.15µm
lsu.load_fifo.queue\[13\]\[15\],15.14µm
_1788_,15.12µm
lsu.store_fifo.queue\[12\]\[4\],15.12µm
_1705_,15.11µm
lsu.load_fifo.queue\[11\]\[30\],15.1µm
lsu.load_fifo.queue\[1\]\[5\],15.1µm
lsu.load_fifo.queue\[7\]\[18\],15.1µm
net156,15.1µm
lsu.load_fifo.queue\[1\]\[8\],15.06µm
lsu.load_fifo.queue\[7\]\[12\],15.06µm
store_addr[18],15.05µm
lsu.load_fifo.queue\[10\]\[9\],15.045µm
_1218_,15.04µm
_1356_,15.04µm
_1423_,15µm
lsu.load_fifo.queue\[11\]\[31\],15µm
_0996_,14.965µm
net1148,14.96µm
lsu.load_fifo.queue\[6\]\[27\],14.95µm
lsu.store_fifo.queue\[6\]\[0\],14.945µm
lsu.store_fifo.queue\[6\]\[5\],14.945µm
_1681_,14.94µm
lsu.load_fifo.queue\[15\]\[19\],14.94µm
lsu.store_fifo.queue\[5\]\[8\],14.94µm
_1295_,14.93µm
store_base_addr[11],14.93µm
lsu.store_fifo.queue\[10\]\[7\],14.91µm
_1473_,14.88µm
lsu.store_fifo.queue\[5\]\[7\],14.88µm
lsu.load_fifo.queue\[3\]\[5\],14.86µm
net471,14.83µm
lsu.load_fifo.queue\[4\]\[25\],14.82µm
_0721_,14.805µm
_1450_,14.8µm
lsu.load_fifo.queue\[6\]\[28\],14.785µm
lsu.load_fifo.queue\[10\]\[28\],14.765µm
_1924_,14.76µm
lsu.load_fifo.queue\[13\]\[23\],14.76µm
lsu.store_fifo.queue\[11\]\[6\],14.76µm
lsu.store_fifo.queue\[3\]\[3\],14.76µm
net946,14.76µm
lsu.load_fifo.queue\[12\]\[10\],14.75µm
lsu.load_fifo.queue\[14\]\[0\],14.74µm
lsu.load_fifo.queue\[14\]\[27\],14.705µm
lsu.load_fifo.queue\[11\]\[23\],14.7µm
lsu.load_fifo.queue\[15\]\[12\],14.68µm
lsu.store_fifo.queue\[12\]\[5\],14.68µm
lsu.store_fifo.queue\[4\]\[3\],14.68µm
net44,14.68µm
lsu.load_fifo.queue\[10\]\[25\],14.675µm
lsu.load_fifo.queue\[11\]\[28\],14.66µm
lsu.load_fifo.queue\[14\]\[21\],14.65µm
acc.byte0\[1\],14.64µm
lsu.load_fifo.queue\[0\]\[9\],14.64µm
lsu.load_fifo.queue\[8\]\[2\],14.64µm
_1249_,14.62µm
lsu.load_fifo.queue\[11\]\[1\],14.62µm
net1278,14.62µm
_0346_,14.605µm
acc.byte1\[6\],14.6µm
lsu.load_fifo.queue\[15\]\[11\],14.6µm
lsu.load_fifo.queue\[7\]\[17\],14.6µm
lsu.load_fifo.queue\[9\]\[20\],14.6µm
net472,14.6µm
store_base_addr[1],14.59µm
_0841_,14.585µm
_1648_,14.58µm
net1055,14.58µm
net1119,14.58µm
net1162,14.56µm
lsu.load_fifo.queue\[0\]\[19\],14.54µm
lsu.load_fifo.queue\[13\]\[12\],14.54µm
lsu.load_fifo.queue\[2\]\[14\],14.53µm
lsu.load_fifo.queue\[3\]\[27\],14.53µm
_0463_,14.525µm
_1133_,14.52µm
lsu.store_fifo.queue\[13\]\[1\],14.52µm
lsu.load_fifo.queue\[13\]\[1\],14.5µm
lsu.store_fifo.queue\[11\]\[3\],14.5µm
net939,14.5µm
_1959_,14.48µm
_0458_,14.465µm
net40,14.46µm
net99,14.46µm
lsu.load_fifo.queue\[10\]\[19\],14.45µm
net9,14.43µm
_1889_,14.42µm
load_base_addr[2],14.42µm
lsu.load_fifo.queue\[15\]\[31\],14.42µm
net1314,14.42µm
lsu.store_fifo.queue\[6\]\[2\],14.385µm
store_addr[10],14.37µm
lsu.load_fifo.queue\[14\]\[6\],14.355µm
lsu.load_fifo.queue\[5\]\[6\],14.34µm
lsu.load_fifo.queue\[9\]\[0\],14.32µm
lsu.store_fifo.queue\[4\]\[7\],14.305µm
_1406_,14.3µm
lsu.load_fifo.queue\[12\]\[2\],14.3µm
lsu.store_fifo.queue\[9\]\[2\],14.3µm
net1107,14.3µm
lsu.load_fifo.queue\[12\]\[7\],14.26µm
lsu.load_fifo.queue\[13\]\[0\],14.26µm
lsu.load_fifo.queue\[15\]\[8\],14.26µm
lsu.load_fifo.queue\[7\]\[2\],14.26µm
lsu.store_fifo.queue\[15\]\[3\],14.26µm
lsu.store_fifo.queue\[5\]\[5\],14.26µm
_0473_,14.245µm
load_addr[21],14.24µm
net856,14.24µm
lsu.load_fifo.queue\[11\]\[12\],14.235µm
acc.byte1\[7\],14.22µm
lsu.load_fifo.queue\[12\]\[0\],14.22µm
lsu.load_fifo.queue\[5\]\[1\],14.22µm
lsu.store_fifo.queue\[1\]\[3\],14.22µm
load_addr[2],14.2µm
lsu.load_fifo.queue\[12\]\[20\],14.2µm
net633,14.2µm
net733,14.2µm
_0232_,14.195µm
_1702_,14.18µm
_1840_,14.18µm
lsu.load_fifo.queue\[3\]\[2\],14.18µm
lsu.load_fifo.queue\[9\]\[15\],14.18µm
net148,14.17µm
_1642_,14.16µm
lsu.load_fifo.queue\[8\]\[23\],14.16µm
lsu.store_fifo.queue\[0\]\[2\],14.16µm
net115,14.16µm
lsu.store_fifo.queue\[13\]\[0\],14.14µm
net1182,14.14µm
lsu.load_fifo.queue\[2\]\[29\],14.13µm
lsu.load_fifo.queue\[11\]\[27\],14.12µm
_1898_,14.1µm
lsu.load_fifo.queue\[11\]\[0\],14.1µm
_0723_,14.065µm
lsu.store_fifo.queue\[10\]\[5\],14.065µm
lsu.load_fifo.queue\[15\]\[6\],14.06µm
_1634_,14.04µm
lsu.load_fifo.queue\[9\]\[2\],14.04µm
lsu.load_fifo.queue\[10\]\[3\],14.03µm
_1195_,14.02µm
lsu.load_fifo.queue\[15\]\[10\],14.02µm
_0953_,14.005µm
lsu.load_fifo.queue\[11\]\[3\],14µm
lsu.load_fifo.queue\[1\]\[23\],14µm
lsu.load_fifo.queue\[7\]\[28\],14µm
lsu.load_fifo.queue\[14\]\[3\],13.965µm
lsu.load_fifo.queue\[2\]\[17\],13.965µm
lsu.load_fifo.queue\[0\]\[21\],13.96µm
_1709_,13.94µm
lsu.store_fifo.queue\[14\]\[9\],13.925µm
lsu.load_fifo.queue\[2\]\[26\],13.91µm
store_base_addr[21],13.91µm
lsu.load_fifo.queue\[10\]\[23\],13.885µm
_1149_,13.88µm
count[6],13.88µm
load_base_addr[18],13.88µm
lsu.store_fifo.queue\[0\]\[7\],13.88µm
net628,13.86µm
lsu.load_counter\[9\],13.84µm
_1197_,13.82µm
lsu.load_fifo.queue\[5\]\[27\],13.82µm
lsu.load_fifo.queue\[7\]\[19\],13.82µm
net124,13.82µm
lsu.load_fifo.queue\[14\]\[14\],13.805µm
lsu.store_fifo.queue\[6\]\[7\],13.805µm
_1083_,13.8µm
_1085_,13.8µm
_1841_,13.8µm
acc.byte1\[5\],13.8µm
lsu.load_fifo.queue\[7\]\[29\],13.8µm
lsu.store_fifo.queue\[0\]\[6\],13.8µm
lsu.store_fifo.queue\[3\]\[5\],13.8µm
_0237_,13.785µm
_0694_,13.785µm
_1439_,13.78µm
net87,13.78µm
net958,13.78µm
lsu.load_fifo.queue\[12\]\[24\],13.76µm
_1384_,13.74µm
lsu.store_fifo.queue\[14\]\[4\],13.725µm
_1746_,13.72µm
lsu.load_fifo.queue\[11\]\[16\],13.72µm
lsu.store_fifo.queue\[2\]\[0\],13.705µm
_0329_,13.685µm
_1933_,13.68µm
lsu.load_fifo.queue\[12\]\[6\],13.68µm
lsu.load_fifo.queue\[13\]\[6\],13.68µm
lsu.load_fifo.queue\[13\]\[9\],13.68µm
lsu.load_fifo.queue\[3\]\[20\],13.68µm
lsu.load_fifo.queue\[8\]\[21\],13.68µm
lsu.store_fifo.queue\[1\]\[2\],13.68µm
load_addr[20],13.66µm
_0061_,13.65µm
lsu.load_fifo.queue\[0\]\[24\],13.64µm
lsu.load_fifo.queue\[15\]\[29\],13.64µm
_1150_,13.625µm
lsu.store_fifo.queue\[9\]\[3\],13.62µm
_1796_,13.6µm
lsu.load_fifo.queue\[13\]\[8\],13.6µm
lsu.load_fifo.queue\[1\]\[2\],13.58µm
net113,13.58µm
_1243_,13.54µm
_1654_,13.54µm
lsu.load_fifo.queue\[12\]\[26\],13.54µm
_2051_,13.52µm
_1533_,13.5µm
net117,13.5µm
net944,13.5µm
_1075_,13.495µm
lsu.load_fifo.queue\[14\]\[18\],13.49µm
lsu.load_fifo.queue\[6\]\[0\],13.49µm
_1385_,13.48µm
_1579_,13.48µm
_2003_,13.48µm
lsu.load_fifo.queue\[10\]\[27\],13.465µm
lsu.store_fifo.queue\[2\]\[8\],13.465µm
_0792_,13.46µm
_1713_,13.46µm
lsu.store_fifo.queue\[8\]\[8\],13.46µm
lsu.load_fifo.queue\[3\]\[17\],13.44µm
lsu.store_fifo.queue\[3\]\[6\],13.42µm
net1048,13.42µm
lsu.store_fifo.queue\[6\]\[8\],13.41µm
_1333_,13.4µm
net1217,13.4µm
_1321_,13.38µm
_0697_,13.365µm
store_complete,13.35µm
lsu.load_fifo.queue\[6\]\[18\],13.345µm
lsu.load_fifo.queue\[12\]\[27\],13.34µm
lsu.load_fifo.queue\[15\]\[20\],13.34µm
lsu.load_fifo.queue\[3\]\[31\],13.34µm
lsu.load_fifo.queue\[9\]\[4\],13.34µm
lsu.store_fifo.queue\[4\]\[4\],13.34µm
lsu.load_fifo.queue\[2\]\[16\],13.325µm
net34,13.3µm
_1414_,13.28µm
net1207,13.28µm
net147,13.26µm
_1769_,13.24µm
_1884_,13.225µm
_1131_,13.22µm
_1593_,13.22µm
lsu.load_fifo.queue\[4\]\[28\],13.22µm
lsu.load_fifo.queue\[6\]\[20\],13.22µm
lsu.store_fifo.queue\[14\]\[7\],13.21µm
_0218_,13.205µm
load_addr[15],13.2µm
_1734_,13.18µm
_1763_,13.18µm
lsu.load_fifo.queue\[15\]\[5\],13.18µm
_1103_,13.16µm
net1013,13.16µm
_0952_,13.145µm
_0591_,13.125µm
_1151_,13.12µm
lsu.load_fifo.queue\[12\]\[4\],13.12µm
lsu.store_fifo.queue\[9\]\[1\],13.12µm
lsu.store_fifo.queue\[14\]\[8\],13.11µm
_1458_,13.08µm
lsu.load_fifo.queue\[10\]\[21\],13.045µm
lsu.load_fifo.queue\[14\]\[5\],13.045µm
_1872_,13.04µm
_1122_,13.02µm
_1809_,13.02µm
lsu.load_fifo.queue\[14\]\[23\],13.005µm
lsu.store_fifo.queue\[10\]\[3\],13.005µm
_1138_,13µm
_1610_,13µm
_1822_,13µm
lsu.load_fifo.queue\[7\]\[3\],13µm
lsu.store_fifo.queue\[12\]\[3\],13µm
lsu.store_fifo.r_ptr\[2\],13µm
_0282_,12.985µm
_1060_,12.985µm
_1661_,12.98µm
_1730_,12.98µm
net72,12.98µm
net1138,12.98µm
_0837_,12.965µm
net977,12.96µm
net1161,12.96µm
_1735_,12.94µm
_1232_,12.92µm
_1510_,12.92µm
_1765_,12.92µm
lsu.load_fifo.queue\[4\]\[15\],12.92µm
lsu.load_fifo.queue\[7\]\[13\],12.92µm
lsu.load_fifo.queue\[8\]\[3\],12.92µm
lsu.store_fifo.queue\[13\]\[7\],12.92µm
_1867_,12.9µm
lsu.load_fifo.queue\[0\]\[22\],12.9µm
_0925_,12.88µm
_1590_,12.88µm
lsu.load_fifo.queue\[13\]\[27\],12.88µm
lsu.load_fifo.queue\[1\]\[15\],12.88µm
lsu.load_fifo.queue\[4\]\[20\],12.88µm
lsu.store_fifo.queue\[5\]\[9\],12.88µm
_0245_,12.865µm
lsu.load_fifo.queue\[8\]\[17\],12.86µm
net1026,12.86µm
lsu.load_fifo.queue\[3\]\[1\],12.84µm
_0518_,12.825µm
net645,12.82µm
lsu.load_fifo.queue\[15\]\[15\],12.8µm
lsu.load_fifo.queue\[4\]\[22\],12.8µm
lsu.load_fifo.queue\[7\]\[20\],12.8µm
_0180_,12.775µm
_1892_,12.775µm
_1410_,12.76µm
_1487_,12.76µm
_1993_,12.76µm
lsu.store_fifo.queue\[8\]\[6\],12.76µm
net122,12.76µm
net910,12.76µm
_0401_,12.745µm
_0438_,12.745µm
_0525_,12.745µm
_0879_,12.74µm
_1379_,12.74µm
net1187,12.74µm
_1223_,12.705µm
_1920_,12.7µm
net1049,12.7µm
lsu.store_fifo.queue\[10\]\[0\],12.685µm
lsu.load_fifo.queue\[5\]\[0\],12.68µm
_1630_,12.66µm
lsu.store_fifo.queue\[9\]\[6\],12.66µm
net116,12.66µm
lsu.load_fifo.queue\[10\]\[20\],12.65µm
_0578_,12.645µm
net1213,12.64µm
_0192_,12.605µm
_1474_,12.58µm
lsu.load_fifo.queue\[11\]\[24\],12.58µm
_1912_,12.56µm
lsu.load_fifo.queue\[10\]\[13\],12.545µm
lsu.load_fifo.queue\[2\]\[15\],12.545µm
_1994_,12.54µm
lsu.load_fifo.queue\[4\]\[5\],12.54µm
net1098,12.54µm
lsu.store_fifo.queue\[6\]\[6\],12.53µm
store_base_addr[10],12.53µm
_0696_,12.525µm
_1471_,12.52µm
net673,12.52µm
load_base_addr[10],12.5µm
lsu.load_fifo.queue\[13\]\[7\],12.5µm
lsu.load_fifo.queue\[1\]\[6\],12.5µm
net31,12.5µm
lsu.load_fifo.queue\[3\]\[9\],12.48µm
lsu.load_fifo.queue\[0\]\[16\],12.46µm
lsu.load_fifo.queue\[12\]\[16\],12.46µm
lsu.load_fifo.queue\[5\]\[18\],12.46µm
lsu.load_fifo.queue\[8\]\[8\],12.46µm
lsu.store_fifo.queue\[4\]\[8\],12.46µm
_1041_,12.425µm
_1977_,12.42µm
lsu.load_fifo.queue\[13\]\[21\],12.42µm
lsu.load_fifo.queue\[1\]\[22\],12.42µm
lsu.load_fifo.queue\[1\]\[26\],12.42µm
lsu.load_fifo.queue\[3\]\[8\],12.42µm
lsu.load_fifo.queue\[5\]\[30\],12.42µm
_0582_,12.405µm
_0246_,12.4µm
_1489_,12.4µm
load_addr[9],12.4µm
net564,12.4µm
net1154,12.4µm
net1156,12.4µm
_0143_,12.38µm
_1183_,12.36µm
_1732_,12.36µm
net1215,12.36µm
lsu.load_fifo.queue\[1\]\[0\],12.34µm
lsu.load_fifo.queue\[1\]\[12\],12.34µm
lsu.load_fifo.queue\[7\]\[31\],12.34µm
