Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_104_278,VGND,li1,133.6300,293.7600,0.000909
FILLER_104_249,VGND,li1,120.7500,293.7600,0.000983
FILLER_104_179,VGND,li1,88.0900,293.7600,0.000990
FILLER_104_157,VGND,li1,78.2000,293.7600,0.000942
FILLER_104_123,VGND,li1,62.3300,293.7600,0.000806
FILLER_104_101,VGND,li1,52.4400,293.7600,0.000689
FILLER_104_49,VGND,li1,28.7500,293.7600,0.000271
FILLER_104_41,VGND,li1,26.2200,293.7600,0.000199
FILLER_104_29,VGND,li1,21.6200,293.7600,0.000199
FILLER_104_26,VGND,li1,17.9400,293.7600,0.000199
FILLER_104_18,VGND,li1,15.6400,293.7600,0.000199
FILLER_104_6,VGND,li1,11.0400,293.7600,0.000199
FILLER_103_625,VGND,li1,293.4800,293.7600,0.000736
FILLER_103_617,VGND,li1,291.1800,293.7600,0.000736
FILLER_103_615,VGND,li1,288.6500,293.7600,0.000736
FILLER_103_611,VGND,li1,287.5000,293.7600,0.000736
FILLER_103_599,VGND,li1,283.8200,293.7600,0.000736
FILLER_103_587,VGND,li1,278.3000,293.7600,0.000736
FILLER_103_561,VGND,li1,264.0400,293.7600,0.000720
FILLER_103_558,VGND,li1,262.6600,293.7600,0.000720
FILLER_103_540,VGND,li1,254.3800,293.7600,0.000691
FILLER_103_517,VGND,li1,243.5700,293.7600,0.000645
FILLER_103_513,VGND,li1,242.4200,293.7600,0.000645
FILLER_103_509,VGND,li1,239.8900,293.7600,0.000635
FILLER_103_505,VGND,li1,238.7400,293.7600,0.000625
FILLER_103_483,VGND,li1,229.5400,293.7600,0.000588
FILLER_103_462,VGND,li1,218.5000,293.7600,0.000536
FILLER_103_447,VGND,li1,211.3700,293.7600,0.000503
FILLER_103_391,VGND,li1,185.6100,293.7600,0.000368
FILLER_103_334,VGND,li1,159.6200,293.7600,0.000642
FILLER_103_315,VGND,li1,151.1100,293.7600,0.000749
FILLER_103_301,VGND,li1,144.4400,293.7600,0.000825
FILLER_103_278,VGND,li1,133.8600,293.7600,0.000909
FILLER_103_198,VGND,li1,97.9800,293.7600,0.001016
FILLER_103_189,VGND,li1,92.6900,293.7600,0.001006
FILLER_103_169,VGND,li1,84.1800,293.7600,0.000976
FILLER_103_151,VGND,li1,75.2100,293.7600,0.000921
FILLER_103_113,VGND,li1,57.9600,293.7600,0.000752
FILLER_103_88,VGND,li1,46.9200,293.7600,0.000603
FILLER_103_57,VGND,li1,33.1200,293.7600,0.000358
FILLER_103_55,VGND,li1,31.0500,293.7600,0.000317
FILLER_103_51,VGND,li1,29.9000,293.7600,0.000271
FILLER_103_39,VGND,li1,26.2200,293.7600,0.000199
FILLER_103_27,VGND,li1,20.7000,293.7600,0.000199
FILLER_103_15,VGND,li1,15.1800,293.7600,0.000199
FILLER_103_3,VGND,li1,9.6600,293.7600,0.000199
FILLER_102_621,VGND,li1,291.4100,288.3200,0.000931
FILLER_102_613,VGND,li1,289.3400,288.3200,0.000927
FILLER_102_601,VGND,li1,284.7400,288.3200,0.000922
FILLER_102_589,VGND,li1,279.2200,288.3200,0.000914
FILLER_102_585,VGND,li1,275.3100,288.3200,0.000909
FILLER_102_577,VGND,li1,272.7800,288.3200,0.000905
FILLER_102_565,VGND,li1,265.6500,288.3200,0.000884
FILLER_102_553,VGND,li1,262.6600,288.3200,0.000874
FILLER_102_531,VGND,li1,250.0100,288.3200,0.000801
FILLER_102_495,VGND,li1,233.4500,288.3200,0.000697
FILLER_102_487,VGND,li1,231.3800,288.3200,0.000681
FILLER_102_475,VGND,li1,224.2500,288.3200,0.000632
FILLER_102_460,VGND,li1,217.3500,288.3200,0.000593
FILLER_102_456,VGND,li1,216.2000,288.3200,0.000576
FILLER_102_444,VGND,li1,212.5200,288.3200,0.000559
FILLER_102_429,VGND,li1,203.3200,288.3200,0.000486
FILLER_102_418,VGND,li1,198.2600,288.3200,0.000458
FILLER_102_412,VGND,li1,195.7300,288.3200,0.000429
FILLER_102_399,VGND,li1,189.5200,288.3200,0.000391
FILLER_102_365,VGND,li1,173.8800,288.3200,0.000389
FILLER_102_318,VGND,li1,152.2600,288.3200,0.000699
FILLER_102_309,VGND,li1,147.8900,288.3200,0.000757
FILLER_102_290,VGND,li1,139.1500,288.3200,0.000851
FILLER_102_253,VGND,li1,122.3600,288.3200,0.000965
FILLER_102_251,VGND,li1,121.2100,288.3200,0.000971
FILLER_102_230,VGND,li1,111.5500,288.3200,0.000997
FILLER_102_180,VGND,li1,88.5500,288.3200,0.000956
FILLER_102_169,VGND,li1,84.1800,288.3200,0.000922
FILLER_102_154,VGND,li1,76.5900,288.3200,0.000852
FILLER_102_141,VGND,li1,70.6100,288.3200,0.000802
FILLER_102_130,VGND,li1,66.0100,288.3200,0.000753
FILLER_102_93,VGND,li1,48.5300,288.3200,0.000520
FILLER_102_85,VGND,li1,46.4600,288.3200,0.000488
FILLER_102_83,VGND,li1,43.9300,288.3200,0.000424
FILLER_102_77,VGND,li1,42.3200,288.3200,0.000424
FILLER_102_65,VGND,li1,38.1800,288.3200,0.000359
FILLER_102_53,VGND,li1,32.6600,288.3200,0.000273
FILLER_102_41,VGND,li1,27.1400,288.3200,0.000187
FILLER_102_29,VGND,li1,21.6200,288.3200,0.000156
FILLER_102_26,VGND,li1,17.9400,288.3200,0.000156
FILLER_102_18,VGND,li1,15.6400,288.3200,0.000156
FILLER_102_6,VGND,li1,11.0400,288.3200,0.000156
FILLER_101_614,VGND,li1,288.4200,288.3200,0.000927
FILLER_101_602,VGND,li1,285.2000,288.3200,0.000922
FILLER_101_590,VGND,li1,279.6800,288.3200,0.000914
FILLER_101_578,VGND,li1,274.1600,288.3200,0.000905
FILLER_101_558,VGND,li1,262.6600,288.3200,0.000874
FILLER_101_492,VGND,li1,232.3000,288.3200,0.000697
FILLER_101_484,VGND,li1,230.0000,288.3200,0.000681
FILLER_101_472,VGND,li1,222.8700,288.3200,0.000632
FILLER_101_461,VGND,li1,218.2700,288.3200,0.000593
FILLER_101_449,VGND,li1,214.8200,288.3200,0.000576
FILLER_101_442,VGND,li1,210.2200,288.3200,0.000543
FILLER_101_430,VGND,li1,206.0800,288.3200,0.000514
FILLER_101_418,VGND,li1,200.5600,288.3200,0.000473
FILLER_101_399,VGND,li1,191.8200,288.3200,0.000410
FILLER_101_393,VGND,li1,186.9900,288.3200,0.000371
FILLER_101_370,VGND,li1,176.6400,288.3200,0.000330
FILLER_101_349,VGND,li1,166.2900,288.3200,0.000498
FILLER_101_332,VGND,li1,159.1600,288.3200,0.000623
FILLER_101_316,VGND,li1,151.1100,288.3200,0.000726
FILLER_101_290,VGND,li1,139.6100,288.3200,0.000851
FILLER_101_241,VGND,li1,116.8400,288.3200,0.000982
FILLER_101_232,VGND,li1,112.7000,288.3200,0.000997
FILLER_101_203,VGND,li1,99.8200,288.3200,0.001013
FILLER_101_182,VGND,li1,89.4700,288.3200,0.000968
FILLER_101_167,VGND,li1,82.5700,288.3200,0.000905
FILLER_101_154,VGND,li1,76.5900,288.3200,0.000852
FILLER_101_99,VGND,li1,51.2900,288.3200,0.000563
FILLER_101_93,VGND,li1,49.6800,288.3200,0.000520
FILLER_101_81,VGND,li1,45.5400,288.3200,0.000456
FILLER_101_69,VGND,li1,40.0200,288.3200,0.000388
FILLER_101_57,VGND,li1,34.5000,288.3200,0.000302
FILLER_101_54,VGND,li1,30.8200,288.3200,0.000244
